Strategy,Start,End,Distance Taveled,Elapsed Time,Right Turns,Left Turns,
astar,-197.190068:274.200000:-375.531374,-330.000000:270.000000:-561.000000,517.200000,17.240000,6,2,
bfs,278.975395:274.200000:286.705669,-645.000000:270.000000:666.000000,2938.260659,97.942022,16,17,
astar,-330.339637:274.200000:-557.188190,933.000000:270.000000:-258.000000,1766.460658,58.882022,0,25,
dijkstra,349.575989:274.200000:368.566839,-1352.000000:270.000000:-664.000000,2767.454470,92.248482,55,17,
bfs,-641.089321:274.200000:666.340156,-333.000000:270.000000:317.000000,1418.593811,47.286460,6,14,
bfs,-334.761731:274.200000:320.552603,-1399.000000:270.000000:-735.000000,2099.433341,69.981111,27,9,
astar,929.389831:274.200000:-256.835309,-1219.000000:270.000000:722.000000,3306.827152,110.227572,38,8,
dijkstra,-1348.632603:274.200000:-662.414577,-1263.000000:270.000000:548.000000,2346.333341,78.211111,37,26,
dijkstra,-1264.521532:274.200000:544.381083,-328.000000:270.000000:734.000000,1389.600000,46.320000,7,14,
astar,-1222.822192:274.200000:721.790978,-26.000000:270.000000:557.000000,2153.568130,71.785604,9,21,
bfs,-1397.669423:274.200000:-731.419873,-1398.000000:270.000000:37.000000,2485.368130,82.845604,11,10,
dijkstra,-331.678942:274.200000:733.011982,978.000000:270.000000:475.000000,3334.668130,111.155604,40,43,
bfs,-1396.745376:274.200000:33.239314,-531.000000:270.000000:-415.000000,2440.800000,81.360000,5,15,
astar,-24.023251:274.298353:560.150586,672.000000:270.000000:-231.000000,3137.700000,104.590000,7,27,
astar,675.516570:274.200000:-229.218069,1264.000000:270.000000:-199.000000,963.600000,32.120000,0,23,
bfs,-534.407056:274.200000:-413.347284,-957.000000:270.000000:702.000000,2021.270970,67.375699,29,13,
astar,1260.909428:274.200000:-196.560405,1202.000000:270.000000:270.000000,843.397642,28.113255,8,9,
dijkstra,974.419016:274.200000:476.519228,-1099.000000:270.000000:271.000000,2855.197643,95.173255,39,5,
bfs,-958.293825:274.200000:703.847838,-330.000000:270.000000:88.000000,2098.726672,69.957556,13,19,
dijkstra,-1098.446387:274.200000:267.145065,307.000000:270.000000:107.000000,2043.900000,68.130000,7,26,
astar,1199.226103:271.126672:267.399254,-489.000000:270.000000:-299.000000,2921.403275,97.380109,32,10,
bfs,-327.915955:274.200000:89.480809,578.000000:270.000000:-211.000000,1667.103274,55.570109,17,7,
dijkstra,307.771447:274.200000:108.357076,894.000000:270.000000:95.000000,1082.403274,36.080109,5,9,
bfs,580.770064:274.200000:-213.871858,-31.000000:270.000000:62.000000,1223.598361,40.786612,9,5,
astar,-491.986674:272.448793:-296.359192,42.000000:270.000000:-316.000000,1892.298361,63.076612,15,16,
bfs,-27.836447:274.200000:63.995096,272.000000:270.000000:85.000000,1047.600000,34.920000,12,10,
dfs,-1233.929115:274.200000:-484.371291,239.000000:270.000000:-93.000000,30451.109576,1015.036986,441,430,
dijkstra,890.699469:274.200000:97.225574,-1126.000000:270.000000:574.000000,2904.798362,96.826612,23,10,
astar,42.120559:274.200000:-319.917130,1232.000000:270.000000:407.000000,1921.500000,64.050000,4,32,
dijkstra,-1126.376849:274.200000:577.007456,-840.000000:270.000000:433.000000,657.000000,21.900000,2,12,
bfs,274.376735:274.200000:88.159952,89.000000:270.000000:419.000000,2536.200000,84.540000,18,8,
astar,1231.953168:274.200000:403.102195,779.000000:270.000000:-667.000000,1686.300000,56.210000,16,11,
dijkstra,-837.431042:274.200000:433.372576,-493.000000:270.000000:-73.000000,1371.300000,45.710000,12,18,
astar,776.328312:274.200000:-664.293901,138.000000:270.000000:-150.000000,1369.344663,45.644822,17,7,
bfs,88.226337:274.200000:422.801003,-1175.000000:270.000000:92.000000,1906.984753,63.566158,12,7,
dijkstra,-489.112454:274.200000:-73.236718,-1290.000000:270.000000:-522.000000,1871.584753,62.386158,10,5,
astar,141.782101:277.955337:-149.094876,-1175.000000:270.000000:-790.000000,2179.240090,72.641336,39,9,
dfs,239.019767:274.200000:-96.936531,-878.000000:270.000000:-727.000000,5752.084753,191.736158,80,73,
dijkstra,-1289.408022:274.200000:-525.908958,440.000000:270.000000:-454.000000,2604.300000,86.810000,5,36,
bfs,-1171.326384:270.783621:93.099306,810.000000:270.000000:733.000000,2896.200000,96.540000,8,14,
astar,-1173.192111:274.200000:-786.482046,-1106.000000:270.000000:-190.000000,1314.600000,43.820000,12,13,
bfs,807.576235:274.200000:732.465522,640.000000:270.000000:-144.000000,1254.000000,41.800000,3,3,
dijkstra,442.611077:274.200000:-450.992820,-926.000000:270.000000:-126.000000,2043.900000,68.130000,19,10,
astar,-1109.610728:274.200000:-189.054983,327.000000:270.000000:585.000000,2082.600000,69.420000,2,22,
dijkstra,-922.657175:274.200000:-124.355150,-912.000000:270.000000:-15.000000,736.200000,24.540000,15,9,
bfs,643.603485:274.200000:-142.824127,-90.000000:270.000000:398.000000,2589.580330,86.319344,16,8,
bfs,-91.979176:274.200000:401.368422,-75.000000:270.000000:393.000000,357.900000,11.930000,0,1,
dijkstra,-911.220802:274.200000:-11.095497,-485.000000:270.000000:-597.000000,1535.980330,51.199344,9,8,
dijkstra,-482.863268:274.200000:-600.101411,-200.000000:270.000000:333.000000,1445.400000,48.180000,7,14,
bfs,-77.637933:274.240594:395.928407,-765.000000:270.000000:-489.000000,1674.173464,55.805782,14,7,
astar,324.617241:274.200000:587.933647,1471.000000:270.000000:-440.000000,3856.953794,128.565126,1,18,
astar,1468.079400:274.200000:-437.335652,1013.000000:270.000000:-503.000000,909.600000,30.320000,12,1,
dijkstra,-198.274807:274.200000:329.559819,1481.000000:270.000000:-313.000000,2528.617773,84.287259,10,30,
bfs,-768.901140:272.873464:-488.778607,1226.000000:270.000000:-480.000000,2994.344309,99.811477,2,19,
dijkstra,1477.369948:271.455691:-313.810368,955.000000:270.000000:500.000000,1675.200000,55.840000,14,5,
astar,1016.608988:274.200000:-504.283839,-1141.000000:270.000000:422.000000,3300.344309,110.011477,32,8,
astar,-1140.003518:274.200000:425.612231,-815.000000:270.000000:-38.000000,1241.100000,41.370000,9,25,
dijkstra,957.176687:274.200000:496.799385,586.000000:270.000000:650.000000,1796.400000,59.880000,16,10,
bfs,1228.440630:274.200000:-476.855936,-502.000000:270.000000:-221.000000,3222.336656,107.411222,34,11,
bfs,-504.567846:274.200000:-223.994425,-616.000000:270.000000:34.000000,901.710259,30.057009,8,3,
astar,-811.577678:274.200000:-36.432055,448.000000:270.000000:-95.000000,1584.873080,52.829103,0,19,
bfs,-614.435667:274.200000:30.486600,-1119.000000:270.000000:-182.000000,1123.826165,37.460872,19,3,
astar,447.099210:274.526165:-98.634714,1043.000000:270.000000:-445.000000,1092.600000,36.420000,1,18,
dijkstra,589.264569:274.200000:648.101662,364.000000:270.000000:606.000000,3212.373080,107.079103,31,15,
bfs,-1116.021900:274.200000:-184.204478,-766.000000:270.000000:-640.000000,924.577916,30.819264,2,5,
astar,1039.735579:274.200000:-447.044964,-1315.000000:270.000000:34.000000,2944.938385,98.164613,17,3,
bfs,-769.722788:274.177916:-639.310670,371.000000:270.000000:614.000000,2650.060469,88.335349,4,19,
astar,-1318.638620:274.200000:35.641263,-474.000000:270.000000:-799.000000,1586.700000,52.890000,1,10,
dijkstra,360.580831:274.200000:607.480528,1444.000000:270.000000:753.000000,4269.738385,142.324613,10,25,
astar,-473.041654:274.200000:-795.149115,996.000000:270.000000:-293.000000,2216.700000,73.890000,5,12,
dijkstra,1440.896659:274.200000:755.047357,-53.000000:270.000000:259.000000,2418.300000,80.610000,35,12,
bfs,371.696969:274.200000:617.938162,1385.000000:270.000000:-762.000000,4066.248206,135.541607,6,20,
astar,994.268918:274.200000:-296.562211,-872.000000:270.000000:-168.000000,2540.748206,84.691607,30,6,
dijkstra,-49.121989:274.200000:259.931629,-1140.000000:270.000000:438.000000,2296.848206,76.561607,41,14,
dijkstra,-1137.102598:274.200000:437.255916,-1298.000000:270.000000:365.000000,550.500000,18.350000,4,3,
astar,-868.501358:274.200000:-166.542852,-659.000000:270.000000:-422.000000,956.400000,31.880000,4,13,
dijkstra,-1298.099291:274.200000:368.804601,-451.000000:270.000000:788.000000,1418.491459,47.283049,5,7,
bfs,1383.821006:274.204346:-758.293184,-1022.000000:270.000000:-440.000000,4120.291459,137.343049,31,10,
dfs,-874.291596:274.200000:-726.893035,293.000000:270.000000:363.000000,28006.285825,933.542861,392,423,
astar,-656.677826:274.200000:-418.771288,1156.000000:270.000000:183.000000,2591.728051,86.390935,2,19,
dijkstra,-452.568441:274.200000:791.481479,59.000000:270.000000:300.000000,2451.904391,81.730146,38,34,
bfs,-1018.098510:274.200000:-440.812780,-124.000000:270.000000:-633.000000,2459.404391,81.980146,5,25,
astar,1153.616827:274.200000:180.077413,-1123.000000:270.000000:157.000000,2895.223888,96.507463,23,5,
dijkstra,60.573220:274.200000:303.641490,428.000000:270.000000:793.000000,1853.556088,61.785203,7,16,
bfs,-126.932111:274.200000:-630.603701,-1298.000000:270.000000:319.000000,2141.504631,71.383488,20,3,
astar,-1124.559052:273.456088:160.445194,-484.000000:270.000000:372.000000,1093.148542,36.438285,6,22,
