Strategy,Start,End,Distance Taveled,Elapsed Time,Right Turns,Left Turns,
dijkstra,-1173.734741:274.200000:766.372040,1290.000000:270.000000:778.000000,4144.405366,138.146846,11,40,
astar,-1141.766561:274.200000:-501.162673,844.000000:270.000000:519.000000,3068.432350,102.281078,13,34,
bfs,1268.790805:274.200000:562.163391,568.000000:270.000000:-662.000000,2261.132350,75.371078,21,12,
dijkstra,1293.245489:274.200000:775.863434,554.000000:270.000000:54.000000,1534.200000,51.140000,7,0,
dijkstra,556.615936:274.200000:51.041481,673.000000:270.000000:-83.000000,458.700000,15.290000,2,2,
bfs,571.797763:274.200000:-662.288004,1011.000000:270.000000:-73.000000,1290.300000,43.010000,7,12,
bfs,1012.212875:274.200000:-69.502791,15.000000:270.000000:-59.000000,1353.122223,45.104074,14,3,
astar,840.857618:274.200000:516.878116,-470.000000:270.000000:418.000000,2898.422223,96.614074,27,40,
dijkstra,672.583514:274.200007:-79.166333,-521.000000:270.000000:69.000000,2033.522223,67.784074,18,4,
astar,-469.666307:274.200000:417.472728,539.000000:270.000000:797.000000,1817.400000,60.580000,6,18,
dijkstra,-524.447017:274.200000:70.898370,-31.000000:270.000000:33.000000,1722.900000,57.430000,15,8,
bfs,12.321580:274.200000:-61.962337,-1193.000000:270.000000:542.000000,2003.100000,66.770000,18,9,
bfs,-1194.735405:274.200000:538.716507,-1343.000000:270.000000:636.000000,512.400000,17.080000,9,1,
dijkstra,-27.399482:274.200000:34.697481,-93.000000:270.000000:-476.000000,1123.625890,37.454196,8,10,
bfs,-1340.214419:274.200000:633.176945,-707.000000:270.000000:585.000000,1086.927750,36.230925,3,8,
dfs,533.203724:274.200000:798.221438,-1334.000000:270.000000:628.000000,18132.053090,604.401770,300,300,
bfs,-708.163517:274.200000:581.280840,-1230.000000:270.000000:632.000000,1086.600000,36.220000,14,4,
astar,535.290162:274.200000:796.747545,-1368.000000:270.000000:-740.000000,3049.227750,101.640925,25,10,
dijkstra,-96.503448:274.200000:-474.446708,-1200.000000:270.000000:411.000000,2301.745640,76.724855,42,8,
bfs,-1226.300940:274.200000:633.158227,-498.000000:270.000000:778.000000,1512.543780,50.418126,9,14,
dijkstra,-1203.700940:274.200000:411.548695,-1353.000000:270.000000:-434.000000,1690.800000,56.360000,12,7,
bfs,-496.863993:274.200000:774.389631,-539.000000:270.000000:-107.000000,2639.923181,87.997439,13,36,
astar,-1368.132116:274.200000:-736.178887,1368.000000:270.000000:633.000000,4074.166961,135.805565,14,41,
dijkstra,-1351.752459:274.200000:-430.354996,825.000000:270.000000:-527.000000,2928.823181,97.627439,8,25,
bfs,-542.007896:272.923181:-109.633489,-438.000000:270.000000:194.000000,1327.800000,44.260000,6,8,
astar,1364.229997:274.200000:632.205763,416.000000:270.000000:-758.000000,2354.132977,78.471099,29,13,
bfs,-441.458364:274.200000:195.950281,-235.000000:270.000000:51.000000,1582.232977,52.741099,8,11,
bfs,-238.690305:274.200000:50.673304,-816.000000:270.000000:43.000000,1054.200000,35.140000,16,7,
dijkstra,822.363093:274.200000:-524.008900,-1358.000000:270.000000:-388.000000,2942.132978,98.071099,27,8,
bfs,-812.816574:274.200000:41.084744,-1129.000000:270.000000:101.000000,601.200000,20.040000,12,1,
astar,412.972522:274.200000:-760.382161,-1162.000000:270.000000:-347.000000,2642.262821,88.075427,47,6,
bfs,-1129.693216:274.200000:97.241984,-882.000000:270.000000:678.000000,1405.362821,46.845427,10,10,
dijkstra,-1355.779459:274.200000:-391.208239,821.000000:270.000000:-288.000000,2887.062821,96.235427,0,45,
bfs,-885.802698:274.200000:676.817326,-665.000000:270.000000:-90.000000,1767.258012,58.908600,5,26,
astar,-1158.604770:274.200000:-345.231106,247.000000:270.000000:724.000000,2677.758012,89.258600,15,30,
dijkstra,819.014579:274.200000:-286.111830,-1245.000000:270.000000:-13.000000,2512.393162,83.746439,23,4,
bfs,-661.218748:274.200000:-89.614851,-582.000000:270.000000:647.000000,1855.735150,61.857838,18,11,
astar,248.701469:274.200000:727.586207,1290.000000:270.000000:186.000000,3663.535150,122.117838,8,23,
dijkstra,-1247.210472:274.200000:-9.680944,-100.000000:270.000000:785.000000,2065.537723,68.851257,8,12,
astar,1286.340691:274.200000:187.031979,868.000000:270.000000:297.000000,1055.341678,35.178056,20,6,
bfs,-582.183977:274.200000:650.866119,1048.000000:270.000000:10.000000,3365.041678,112.168056,14,12,
dijkstra,-99.512772:272.962277:788.775192,1431.000000:270.000000:-469.000000,4058.918059,135.297269,23,29,
bfs,1045.648748:274.200000:6.764139,-1156.000000:270.000000:353.000000,2973.314104,99.110470,17,7,
astar,864.194176:274.200000:296.162697,-8.000000:270.000000:692.000000,3503.414104,116.780470,26,14,
astar,-6.571518:274.200000:688.498880,-135.000000:270.000000:473.000000,1514.618566,50.487286,5,15,
dijkstra,1427.795683:274.200000:-466.786421,-822.000000:270.000000:141.000000,3303.818567,110.127286,14,10,
bfs,-1159.605984:274.200000:351.576497,517.000000:270.000000:607.000000,3074.018567,102.467286,17,23,
dijkstra,-823.260353:274.200000:137.474815,-516.000000:270.000000:387.000000,1226.400000,40.880000,13,18,
astar,-132.846154:274.281434:469.938824,925.000000:270.000000:709.000000,2975.454080,99.181803,11,27,
dijkstra,-513.086577:274.200000:384.531858,-1348.000000:270.000000:-164.000000,1475.454080,49.181803,26,7,
bfs,520.378662:274.200000:605.098676,1493.000000:270.000000:-281.000000,2946.654080,98.221803,15,30,
astar,921.072210:274.200000:709.199810,-29.000000:270.000000:-102.000000,1740.600000,58.020000,19,7,
bfs,1489.373487:274.200000:-282.615827,1405.000000:270.000000:9.000000,1321.800000,44.060000,8,3,
dijkstra,-1344.606067:274.200000:-165.674321,315.000000:270.000000:93.000000,2267.400000,75.580000,8,28,
astar,-28.032900:274.200000:-105.764862,1296.000000:270.000000:-557.000000,1876.800000,62.560000,0,11,
dijkstra,311.653702:274.200000:91.190453,1062.000000:270.000000:-72.000000,1281.300000,42.710000,5,16,
astar,1295.437104:274.200000:-553.205303,999.000000:270.000000:637.000000,1925.700000,64.190000,12,4,
dijkstra,1059.701010:274.200000:-69.066522,-359.000000:270.000000:-217.000000,1993.500000,66.450000,22,4,
bfs,1402.820916:274.200000:11.999547,-327.000000:270.000000:697.000000,3978.000000,132.600000,18,15,
astar,998.484285:274.200000:636.242098,918.000000:270.000000:-253.000000,1525.800000,50.860000,7,10,
dijkstra,-357.549918:274.200000:-220.642673,888.000000:270.000000:-149.000000,1865.400000,62.180000,2,17,
dfs,-1331.264662:274.200000:625.099846,1199.000000:270.000000:-345.000000,34939.544934,1164.651498,460,518,
bfs,-330.833529:274.200000:697.055494,-306.000000:270.000000:123.000000,2491.060584,83.035353,17,19,
astar,921.081428:274.200000:-250.593691,-1259.000000:270.000000:620.000000,3015.460584,100.515353,36,8,
bfs,-303.312512:274.200000:120.428011,-537.000000:270.000000:-312.000000,1567.500000,52.250000,17,15,
dijkstra,890.454663:274.200000:-145.893856,-381.000000:270.000000:357.000000,2384.260584,79.475353,21,6,
astar,-1256.625697:274.200000:617.099326,608.000000:270.000000:660.000000,3032.763145,101.092105,12,51,
bfs,-539.687327:274.200000:-314.646143,-68.000000:270.000000:732.000000,2455.263145,81.842105,17,7,
dijkstra,-384.225294:274.200000:354.797104,1076.000000:270.000000:687.000000,2893.263145,96.442105,12,30,
bfs,-70.159707:274.200000:735.195286,-853.000000:270.000000:518.000000,1343.400000,44.780000,9,5,
astar,609.881721:274.200000:656.671453,-272.000000:270.000000:-425.000000,2022.600000,67.420000,24,11,
dijkstra,1072.487463:274.200000:688.883644,272.000000:270.000000:366.000000,1446.300000,48.210000,20,8,
bfs,-850.975801:274.200000:521.130601,382.000000:270.000000:570.000000,1843.839902,61.461330,2,12,
astar,-274.007833:274.200000:-428.113117,-1275.000000:270.000000:148.000000,1647.339902,54.911330,9,5,
dijkstra,271.260369:274.200000:362.205523,182.000000:270.000000:482.000000,2574.939902,85.831330,27,12,
astar,-1276.293538:274.200000:144.364122,270.000000:270.000000:-177.000000,1879.885521,62.662851,2,12,
dijkstra,180.235249:274.200000:485.395718,-643.000000:270.000000:-122.000000,1460.485521,48.682851,4,1,
dijkstra,-639.544584:274.200000:-120.612076,-840.000000:270.000000:-195.000000,623.700000,20.790000,13,6,
bfs,379.551985:271.076311:572.949795,1044.000000:270.000000:231.000000,3480.085521,116.002851,8,18,
astar,266.087941:274.200000:-176.625001,1260.000000:270.000000:85.000000,1372.500000,45.750000,6,12,
bfs,1040.279031:274.200000:232.274737,971.000000:270.000000:169.000000,384.000000,12.800000,1,1,
dijkstra,-840.632968:274.200000:-191.288499,-273.000000:270.000000:-76.000000,1044.300000,34.810000,8,18,
bfs,967.386553:274.202017:170.466871,1326.000000:270.000000:-539.000000,1251.600000,41.720000,3,13,
astar,1263.762764:274.200000:84.996342,-299.000000:270.000000:242.000000,2147.700000,71.590000,37,10,
dijkstra,-273.027057:274.200000:-77.621800,1107.000000:270.000000:-650.000000,1958.400000,65.280000,4,15,
astar,-295.966070:274.200000:239.645445,-359.000000:270.000000:-567.000000,1348.027194,44.934240,6,11,
bfs,1324.547595:274.200000:-535.504868,-1197.000000:270.000000:-587.000000,3561.127194,118.704240,30,5,
astar,-361.199257:274.200000:-569.978393,1074.000000:270.000000:-180.000000,1961.100000,65.370000,1,33,
dijkstra,1103.834644:274.200000:-647.699923,-842.000000:270.000000:-707.000000,3393.528821,113.117627,36,8,
bfs,-1200.710997:274.200000:-585.995962,-862.000000:270.000000:-107.000000,1389.101626,46.303388,12,16,
astar,1077.383716:274.200000:-178.156443,475.000000:270.000000:420.000000,1357.001626,45.233388,10,4,
bfs,-860.777065:274.200000:-110.738539,248.000000:270.000000:-537.000000,1867.500000,62.250000,6,25,
dijkstra,-838.589790:274.200000:-708.641218,123.000000:270.000000:-23.000000,2199.000000,73.300000,8,29,
astar,475.274535:274.200000:416.261375,-656.000000:270.000000:606.000000,2409.900000,80.330000,25,28,
dijkstra,125.143148:274.200000:-19.967131,708.000000:270.000000:-623.000000,1414.727704,47.157590,15,21,
bfs,250.954993:274.200000:-539.392681,-872.000000:270.000000:-342.000000,1871.627704,62.387590,32,3,
astar,-658.699312:274.200000:603.351902,-890.000000:270.000000:-500.000000,1540.073656,51.335789,13,5,
bfs,-868.219078:274.200000:-342.084911,-1199.000000:270.000000:-474.000000,782.945952,26.098198,10,5,
dijkstra,707.569527:274.272296:-624.855759,1196.000000:270.000000:505.000000,1829.945952,60.998198,13,17,
bfs,-1199.865283:274.200000:-470.118586,-35.000000:270.000000:-136.000000,2028.300000,67.610000,9,17,
dijkstra,1192.280891:274.200000:506.064280,30.000000:270.000000:-749.000000,2188.500000,72.950000,15,10,
astar,-887.570527:274.200000:-497.013269,1492.000000:270.000000:-640.000000,3475.800000,115.860000,5,36,
bfs,-35.232618:274.200000:-132.289331,-551.000000:270.000000:-238.000000,1595.700000,53.190000,19,11,
astar,1489.393550:274.200000:-637.315543,1292.000000:270.000000:-797.000000,1335.000000,44.500000,8,3,
dijkstra,31.406200:274.200000:-746.600352,20.000000:270.000000:516.000000,2354.400000,78.480000,25,8,
bfs,-548.151399:274.200000:-240.793458,1358.000000:270.000000:-324.000000,3156.978557,105.232619,14,22,
dijkstra,19.741890:274.200000:512.289860,-301.000000:270.000000:-625.000000,2065.578557,68.852619,8,11,
astar,1289.242987:274.200000:-794.502697,-683.000000:270.000000:-131.000000,2724.875489,90.829183,25,3,
bfs,1358.732865:274.200000:-327.692382,624.000000:270.000000:799.000000,2208.796931,73.626564,16,5,
astar,-679.263084:274.096931:-130.367883,391.000000:270.000000:-722.000000,1860.900000,62.030000,9,24,
dijkstra,-299.131661:274.200000:-623.659901,1413.000000:270.000000:645.000000,2753.097698,91.769923,8,30,
astar,390.854685:274.200000:-718.055588,1042.000000:270.000000:290.000000,1645.900767,54.863359,10,17,
dfs,1201.681332:274.200000:-347.752903,923.000000:270.000000:776.000000,32690.767299,1089.692243,489,477,
dijkstra,1410.103838:274.200000:642.579103,-64.000000:270.000000:-346.000000,2436.300000,81.210000,30,8,
bfs,622.694665:274.200000:795.413938,-619.000000:270.000000:192.000000,3756.100767,125.203359,30,9,
dijkstra,-65.657183:274.200000:-342.543906,-943.000000:270.000000:-467.000000,1570.538606,52.351287,20,4,
astar,1043.671299:274.200000:293.238765,-713.000000:270.000000:-741.000000,3377.420839,112.580695,26,16,
bfs,-615.141327:274.200000:191.902394,-684.000000:270.000000:-708.000000,1875.920839,62.530695,8,8,
dijkstra,-946.339920:270.119194:-468.831390,-367.000000:270.000000:545.000000,1871.982233,62.399408,14,45,
bfs,-687.948602:274.200000:-708.556453,-303.000000:270.000000:427.000000,2131.200000,71.040000,4,13,
dfs,921.084297:274.200000:779.346367,998.000000:270.000000:212.000000,5943.920839,198.130695,70,81,
astar,-716.562136:270.621280:-742.344408,1205.000000:270.000000:-635.000000,3604.450025,120.148334,8,35,
dijkstra,-370.767933:274.200000:544.351365,-1348.000000:270.000000:19.000000,1931.350025,64.378334,16,8,
astar,1201.682178:274.150025:-633.124597,1320.000000:270.000000:-88.000000,1093.073377,36.435779,4,5,
bfs,-302.713975:274.200000:423.080514,-134.000000:270.000000:19.000000,2129.823401,70.994113,12,11,
astar,1322.259541:274.200000:-91.085865,1155.000000:270.000000:301.000000,1355.100000,45.170000,11,8,
bfs,-132.552390:274.200000:22.408968,1153.000000:270.000000:249.000000,2072.400000,69.080000,8,24,
astar,1154.755862:274.200000:297.063052,929.000000:270.000000:-186.000000,947.700000,31.590000,11,9,
dijkstra,-1351.952099:274.249975:19.053242,1443.000000:270.000000:156.000000,3532.973377,117.765779,4,13,
astar,926.852805:274.200000:-182.950092,830.000000:270.000000:-131.000000,481.800000,16.060000,10,2,
bfs,1153.136592:274.200000:249.028003,688.000000:270.000000:-24.000000,1014.600000,33.820000,11,5,
astar,833.712144:274.200000:-131.828564,-184.000000:270.000000:-485.000000,1472.990715,49.099690,14,3,
dijkstra,1439.268870:274.200000:157.186183,81.000000:270.000000:-500.000000,1932.890715,64.429690,26,5,
astar,-182.861235:274.200000:-481.372211,241.000000:270.000000:-272.000000,810.117798,27.003927,6,22,
astar,240.344226:274.200000:-275.841855,743.000000:270.000000:-317.000000,876.758177,29.225273,0,19,
bfs,685.184901:274.200000:-26.689716,-921.000000:270.000000:-513.000000,3394.766690,113.158890,13,14,
dijkstra,80.208674:274.200000:-496.256427,-916.000000:270.000000:697.000000,2332.475975,77.749199,33,15,
bfs,-924.779330:274.200000:-514.151313,-1371.000000:270.000000:-789.000000,1371.600000,45.720000,15,11,
astar,739.597590:274.200000:-315.215445,-806.000000:270.000000:-348.000000,2242.488516,74.749617,40,6,
dijkstra,-919.277465:274.200000:698.994460,13.000000:270.000000:99.000000,2096.688516,69.889617,12,31,
astar,-804.844581:272.658524:-344.232072,-397.000000:270.000000:-120.000000,885.900000,29.530000,3,11,
dijkstra,10.947387:274.200000:102.275928,112.000000:270.000000:-57.000000,819.600000,27.320000,8,8,
bfs,-1370.997419:274.200000:-785.130900,178.000000:270.000000:73.000000,2927.963459,97.598782,22,34,
astar,-397.188474:274.200000:-116.178402,1028.000000:270.000000:-135.000000,1818.274942,60.609165,4,27,
dijkstra,115.839026:274.200000:-56.666748,-233.000000:270.000000:754.000000,2334.201280,77.806709,24,30,
bfs,181.791886:274.200000:73.936246,845.000000:270.000000:719.000000,1428.226338,47.607545,6,19,
astar,1026.401943:274.200000:-131.622606,-853.000000:270.000000:-472.000000,2791.583034,93.052768,35,6,
dijkstra,-231.602641:271.126338:757.630644,-1324.000000:270.000000:755.000000,1784.256697,59.475223,19,4,
bfs,841.325824:274.200000:720.255924,175.000000:270.000000:-455.000000,2009.556697,66.985223,16,14,
dfs,994.605493:274.200000:209.977617,-1385.000000:270.000000:663.000000,17356.405430,578.546848,284,265,
